Type,Entries #,True Correct,True False,Detected False,Computational Steps,
non_priority,63,63,0,0,
priority,37,37,0,0,
non_priority,73,73,0,0,
priority,27,27,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,70,69,1,1,
priority,30,29,1,1,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,73,73,0,0,
priority,27,27,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,81,80,1,1,
priority,19,19,0,0,
non_priority,78,78,0,0,
priority,22,22,0,0,
non_priority,77,75,2,2,
priority,23,23,0,0,
non_priority,74,72,2,2,
priority,26,26,0,0,
non_priority,78,78,0,0,
priority,22,22,0,0,
non_priority,74,74,0,0,
priority,26,25,1,1,
non_priority,65,65,0,0,
priority,35,35,0,0,
non_priority,67,67,0,0,
priority,33,32,1,1,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,71,70,1,1,
priority,29,29,0,0,
non_priority,69,67,2,2,
priority,31,31,0,0,
non_priority,70,70,0,0,
priority,30,29,1,1,
non_priority,78,78,0,0,
priority,22,22,0,0,
non_priority,77,76,1,1,
priority,23,22,1,1,
non_priority,78,76,2,2,
priority,22,22,0,0,
non_priority,83,82,1,1,
priority,17,17,0,0,
non_priority,73,71,2,2,
priority,27,27,0,0,
non_priority,66,66,0,0,
priority,34,34,0,0,
non_priority,72,72,0,0,
priority,28,27,1,1,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,69,69,0,0,
priority,31,30,1,1,
non_priority,73,71,2,2,
priority,27,27,0,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,79,78,1,1,
priority,21,21,0,0,
non_priority,72,71,1,1,
priority,28,28,0,0,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,64,62,2,2,
priority,36,34,2,1,
non_priority,77,74,3,3,
priority,23,23,0,0,
non_priority,75,74,1,1,
priority,25,24,1,1,
non_priority,69,67,2,2,
priority,31,30,1,1,
non_priority,77,77,0,0,
priority,23,23,0,0,
non_priority,66,66,0,0,
priority,34,34,0,0,
non_priority,67,66,1,1,
priority,33,32,1,1,
non_priority,61,61,0,0,
priority,39,38,1,1,
non_priority,62,61,1,1,
priority,38,37,1,1,
non_priority,74,73,1,1,
priority,26,26,0,0,
non_priority,72,72,0,0,
priority,28,27,1,1,
non_priority,75,74,1,1,
priority,25,25,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,73,73,0,0,
priority,27,24,3,3,
non_priority,64,64,0,0,
priority,36,36,0,0,
non_priority,73,71,2,2,
priority,27,27,0,0,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,61,60,1,1,
priority,39,39,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,63,62,1,1,
priority,37,37,0,0,
non_priority,70,69,1,0,
priority,30,30,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,70,70,0,0,
priority,30,29,1,1,
non_priority,66,64,2,1,
priority,34,33,1,1,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,63,63,0,0,
priority,37,36,1,1,
non_priority,59,59,0,0,
priority,41,39,2,1,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,64,63,1,1,
priority,36,35,1,1,
non_priority,78,77,1,1,
priority,22,22,0,0,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,73,71,2,1,
priority,27,27,0,0,
non_priority,74,73,1,1,
priority,26,26,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,66,66,0,0,
priority,34,33,1,1,
non_priority,60,60,0,0,
priority,40,39,1,1,
non_priority,64,64,0,0,
priority,36,36,0,0,
non_priority,75,75,0,0,
priority,25,25,0,0,
non_priority,65,64,1,1,
priority,35,34,1,1,
non_priority,75,75,0,0,
priority,25,25,0,0,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,78,78,0,0,
priority,22,22,0,0,
non_priority,69,67,2,1,
priority,31,30,1,1,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,68,67,1,1,
priority,32,31,1,1,
non_priority,71,69,2,2,
priority,29,28,1,1,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,59,58,1,1,
priority,41,41,0,0,
non_priority,79,78,1,1,
priority,21,20,1,1,
non_priority,74,74,0,0,
priority,26,25,1,1,
non_priority,66,65,1,1,
priority,34,34,0,0,
non_priority,66,66,0,0,
priority,34,33,1,1,
non_priority,76,76,0,0,
priority,24,24,0,0,
non_priority,77,75,2,2,
priority,23,22,1,1,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,73,73,0,0,
priority,27,27,0,0,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,73,72,1,1,
priority,27,26,1,1,
non_priority,66,64,2,2,
priority,34,34,0,0,
non_priority,66,65,1,1,
priority,34,34,0,0,
non_priority,67,65,2,2,
priority,33,32,1,1,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,70,69,1,1,
priority,30,30,0,0,
non_priority,68,66,2,2,
priority,32,31,1,1,
non_priority,77,76,1,1,
priority,23,23,0,0,
non_priority,66,65,1,1,
priority,34,34,0,0,
non_priority,76,75,1,1,
priority,24,24,0,0,
non_priority,57,56,1,1,
priority,43,43,0,0,
non_priority,66,66,0,0,
priority,34,34,0,0,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,65,65,0,0,
priority,35,35,0,0,
non_priority,67,66,1,1,
priority,33,33,0,0,
non_priority,67,66,1,1,
priority,33,32,1,1,
non_priority,70,69,1,1,
priority,30,30,0,0,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,75,74,1,1,
priority,25,25,0,0,
non_priority,68,67,1,1,
priority,32,32,0,0,
non_priority,68,66,2,2,
priority,32,32,0,0,
non_priority,70,69,1,1,
priority,30,30,0,0,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,75,74,1,1,
priority,25,24,1,1,
non_priority,66,66,0,0,
priority,34,34,0,0,
non_priority,67,66,1,1,
priority,33,33,0,0,
non_priority,68,67,1,1,
priority,32,32,0,0,
non_priority,66,66,0,0,
priority,34,33,1,1,
non_priority,76,76,0,0,
priority,24,24,0,0,
non_priority,65,63,2,2,
priority,35,34,1,1,
non_priority,66,65,1,1,
priority,34,34,0,0,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,62,61,1,1,
priority,38,37,1,1,
non_priority,65,65,0,0,
priority,35,35,0,0,
non_priority,69,67,2,2,
priority,31,31,0,0,
non_priority,77,76,1,1,
priority,23,23,0,0,
non_priority,63,62,1,1,
priority,37,36,1,1,
non_priority,72,72,0,0,
priority,28,27,1,1,
non_priority,70,70,0,0,
priority,30,29,1,1,
non_priority,66,65,1,1,
priority,34,33,1,1,
non_priority,66,65,1,1,
priority,34,34,0,0,
non_priority,64,62,2,1,
priority,36,35,1,1,
non_priority,65,65,0,0,
priority,35,35,0,0,
non_priority,66,66,0,0,
priority,34,34,0,0,
non_priority,78,78,0,0,
priority,22,22,0,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,70,69,1,1,
priority,30,30,0,0,
non_priority,74,73,1,1,
priority,26,26,0,0,
non_priority,68,67,1,1,
priority,32,32,0,0,
non_priority,72,72,0,0,
priority,28,27,1,1,
non_priority,66,64,2,2,
priority,34,34,0,0,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,68,68,0,0,
priority,32,31,1,1,
non_priority,75,75,0,0,
priority,25,25,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,79,79,0,0,
priority,21,20,1,1,
non_priority,73,71,2,2,
priority,27,27,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,66,66,0,0,
priority,34,33,1,1,
non_priority,79,77,2,2,
priority,21,20,1,1,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,76,76,0,0,
priority,24,24,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,76,76,0,0,
priority,24,23,1,1,
non_priority,63,62,1,1,
priority,37,36,1,1,
non_priority,75,74,1,1,
priority,25,25,0,0,
non_priority,62,61,1,1,
priority,38,38,0,0,
non_priority,73,73,0,0,
priority,27,27,0,0,
non_priority,70,69,1,1,
priority,30,30,0,0,
non_priority,64,64,0,0,
priority,36,36,0,0,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,72,71,1,1,
priority,28,27,1,1,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,73,73,0,0,
priority,27,27,0,0,
non_priority,70,69,1,1,
priority,30,29,1,1,
non_priority,59,59,0,0,
priority,41,40,1,1,
non_priority,80,80,0,0,
priority,20,19,1,1,
non_priority,70,69,1,1,
priority,30,29,1,1,
non_priority,66,65,1,1,
priority,34,34,0,0,
non_priority,72,71,1,1,
priority,28,28,0,0,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,76,74,2,2,
priority,24,23,1,1,
non_priority,61,61,0,0,
priority,39,39,0,0,
non_priority,67,66,1,1,
priority,33,33,0,0,
non_priority,73,73,0,0,
priority,27,26,1,1,
non_priority,64,64,0,0,
priority,36,35,1,1,
non_priority,65,64,1,1,
priority,35,34,1,1,
non_priority,67,67,0,0,
priority,33,32,1,1,
non_priority,76,76,0,0,
priority,24,24,0,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,76,76,0,0,
priority,24,24,0,0,
non_priority,66,65,1,1,
priority,34,33,1,1,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,64,64,0,0,
priority,36,36,0,0,
non_priority,71,69,2,2,
priority,29,28,1,1,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,63,62,1,1,
priority,37,36,1,1,
non_priority,62,61,1,1,
priority,38,38,0,0,
non_priority,63,63,0,0,
priority,37,37,0,0,
non_priority,68,68,0,0,
priority,32,31,1,1,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,76,75,1,1,
priority,24,24,0,0,
non_priority,72,72,0,0,
priority,28,27,1,1,
non_priority,65,65,0,0,
priority,35,35,0,0,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,78,77,1,1,
